,id,deleted,modelId,modelCheckpoint,score,imageSize,imageWidth,timestamp,xMax,xMin,yMax,yMin,chainIndex,chainLength,speciesName,videoTitle,fps,spatial_angle_smoothed,detection_score_original,detection_center_smoothed,height,class_number,index,is_tracker,spatial_angle,spatial_duration,segmentation,spatial_speed,species_id_orig,isMaxPath,spatial_angle_simple,detection_center_x,jobId,species_id,sliceTimestamp,duration,spatial_dist,detection_score_after_1st-seq-nms,trackerType,detection_center_y
0,_ecF6A2,False,-jJDAxhkM,40000,0.9686,600,1920,420432.031,0.7686149597,0.7214930852,0.6618206448,0.5543776336,1,38,YellowfinBream,AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4,5,,0.9622608423000001,"[0.7451, 0.6081]",1080,9,1022,0,,,[],,9,True,,0.7451,3U88UknDkds,9,400.0,0.10347414020000001,,0.9686,siammask,0.6081
1,PEbcQVC,False,-jJDAxhkM,40000,0.9686,600,1920,420632.031,0.7779524485,0.7012425105,0.6624713474,0.5503889296,1,38,YellowfinBream,AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4,5,287.1759036157455,0.9654042721,"[0.7418, 0.6070800000000001]",1080,9,1025,0,287.1759036157455,200.0,[],0.017270205557548,9,True,LEFT,0.7396,3U88UknDkds,9,600.0,0.1083102226,0.003454041111509,0.9686,siammask,0.6064
2,AP9Y-Oi,False,-jJDAxhkM,40000,0.9686,600,1920,420832.031,0.7569431941,0.6818167369,0.6618973343,0.5378027457,1,38,YellowfinBream,AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4,5,287.4758550597718,0.941849947,"[0.7300666666666661, 0.6033190476190471]",1080,9,1028,0,287.7725103340835,200.0,[],0.061606792223525005,9,True,LEFT,0.7194,3U88UknDkds,9,800.0,0.1039865017,0.012321358444705001,0.9686,siammask,0.5999
3,pbE7jJl,False,-jJDAxhkM,40000,0.9686,600,1920,421032.031,0.7532364527000001,0.6590827942,0.6590439973000001,0.5320393315,1,38,YellowfinBream,AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4,5,287.7011266644016,0.9428018928,"[0.7179929411764701, 0.5993635294117641]",1080,9,1031,0,288.1395061219838,200.0,[],0.063525776559746,9,True,LEFT,0.7062,3U88UknDkds,9,1000.0,0.10437488560000001,0.012705155311949,0.9686,siammask,0.5955
4,WBIS9N2,False,-jJDAxhkM,40000,0.9686,600,1920,421232.031,0.7595081965,0.6362050374,0.6579636185000001,0.5335487648,1,38,YellowfinBream,AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4,5,285.71698452104806,0.9737522602,"[0.7079170087976541, 0.597576539589442]",1080,9,1036,0,280.0569652604189,200.0,[],0.051165844546818,9,True,LEFT,0.6979000000000001,3U88UknDkds,9,1200.0,0.1055598259,0.010233168909363,0.9686,siammask,0.5958
5,kUYOHvn,False,-jJDAxhkM,40000,0.9686,600,1920,421432.031,0.7008347193000001,0.6191097895000001,0.6804354067,0.528062665,1,38,YellowfinBream,AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4,5,280.69257539353777,0.9248120189000001,"[0.6839409523809521, 0.600890695970695]",1080,9,1037,0,262.13000410342056,200.0,[],0.12102013404969501,9,True,LEFT,0.66,3U88UknDkds,9,1400.0,0.1033759117,0.024204026809939,0.9686,siammask,0.6042000000000001
6,o4DT8ZK,False,-jJDAxhkM,40000,0.9686,600,1920,421632.031,0.6947614670000001,0.6005062103000001,0.6715135928,0.5289432102,1,38,YellowfinBream,AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4,5,278.9342115561745,0.9712642431,"[0.665767148873832, 0.600545284746383]",1080,9,1039,0,271.0888322241124,200.0,[],0.090885428264007,9,True,LEFT,0.6476000000000001,3U88UknDkds,9,1600.0,0.10372757910000001,0.018177085652801,0.9686,siammask,0.6002000000000001
7,uoI1OiN,False,-jJDAxhkM,40000,0.9686,600,1920,421832.031,0.6725886027,0.5784039179,0.6638996831,0.5307119864000001,1,38,YellowfinBream,AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4,5,278.23063386764414,0.9899689555000001,"[0.645632652780956, 0.5989225680933851]",1080,9,1041,0,274.60772865169145,200.0,[],0.10099890373785601,9,True,LEFT,0.6255000000000001,3U88UknDkds,9,1800.0,0.1075575352,0.020199780747571002,0.9686,siammask,0.5973
8,DO_FTC-,False,-jJDAxhkM,40000,0.9686,600,1920,422032.031,0.6718960444000001,0.5624887466,0.6624091254000001,0.5265344125,1,38,YellowfinBream,AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4,5,278.32101480510397,0.9709595442000001,"[0.631416163696913, 0.596711258740458]",1080,9,1043,0,278.84124593137085,200.0,[],0.071937203679852,9,True,LEFT,0.6172000000000001,3U88UknDkds,9,2000.0,0.1084055901,0.014387440735970002,0.9686,siammask,0.5945
9,KUFpVr5,False,-jJDAxhkM,40000,0.9686,600,1920,422232.031,0.6594577789,0.5361087163,0.6684192234,0.5246511954,1,38,YellowfinBream,AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4,5,277.2281155489639,0.9902826548,"[0.6146080337601031, 0.5966056290680211]",1080,9,1045,0,270.36006710871294,200.0,[],0.08404230922583,9,True,LEFT,0.5978,3U88UknDkds,9,2200.0,0.1041824818,0.016808461845166,0.9686,siammask,0.5965
